"","Pclass","Sex","Age","SibSp","Parch","Fare","Survived","Embarked"
"1",3,"male",22,1,0,7.25,0,"S"
"2",1,"female",38,1,0,71.2833,1,"C"
"3",3,"female",26,0,0,7.925,1,"S"
"4",1,"female",35,1,0,53.1,1,"S"
"5",3,"male",35,0,0,8.05,0,"S"
"6",3,"male",21,0,0,8.4583,0,"Q"
"7",1,"male",54,0,0,51.8625,0,"S"
"8",3,"male",2,3,1,21.075,0,"S"
"9",3,"female",27,0,2,11.1333,1,"S"
"10",2,"female",14,1,0,30.0708,1,"C"
"11",3,"female",4,1,1,16.7,1,"S"
"12",1,"female",58,0,0,26.55,1,"S"
"13",3,"male",20,0,0,8.05,0,"S"
"14",3,"male",39,1,5,31.275,0,"S"
"15",3,"female",14,0,0,7.8542,0,"S"
"16",2,"female",55,0,0,16,1,"S"
"17",3,"male",2,4,1,29.125,0,"Q"
"18",2,"male",34,0,0,13,1,"S"
"19",3,"female",31,1,0,18,0,"S"
"20",3,"female",18,0,0,7.225,1,"C"
"21",2,"male",35,0,0,26,0,"S"
"22",2,"male",34,0,0,13,1,"S"
"23",3,"female",15,0,0,8.0292,1,"Q"
"24",1,"male",28,0,0,35.5,1,"S"
"25",3,"female",8,3,1,21.075,0,"S"
"26",3,"female",38,1,5,31.3875,1,"S"
"27",3,"male",30,0,0,7.225,0,"C"
"28",1,"male",19,3,2,263,0,"S"
"29",3,"female",26,0,0,7.8792,1,"Q"
"30",3,"male",33,0,0,7.8958,0,"S"
"31",1,"male",40,0,0,27.7208,0,"C"
"32",1,"female",23,1,0,146.5208,1,"C"
"33",3,"female",22,0,0,7.75,1,"Q"
"34",2,"male",66,0,0,10.5,0,"S"
"35",1,"male",28,1,0,82.1708,0,"C"
"36",1,"male",42,1,0,52,0,"S"
"37",3,"male",24,0,0,7.2292,1,"C"
"38",3,"male",21,0,0,8.05,0,"S"
"39",3,"female",18,2,0,18,0,"S"
"40",3,"female",14,1,0,11.2417,1,"C"
"41",3,"female",40,1,0,9.475,0,"S"
"42",2,"female",27,1,0,21,0,"S"
"43",3,"male",33,0,0,7.8958,0,"C"
"44",2,"female",3,1,2,41.5792,1,"C"
"45",3,"female",19,0,0,7.8792,1,"Q"
"46",3,"male",24,0,0,8.05,0,"S"
"47",3,"male",30,1,0,15.5,0,"Q"
"48",3,"female",22,0,0,7.75,1,"Q"
"49",3,"male",26,2,0,21.6792,0,"C"
"50",3,"female",18,1,0,17.8,0,"S"
"51",3,"male",7,4,1,39.6875,0,"S"
"52",3,"male",21,0,0,7.8,0,"S"
"53",1,"female",49,1,0,76.7292,1,"C"
"54",2,"female",29,1,0,26,1,"S"
"55",1,"male",65,0,1,61.9792,0,"C"
"56",1,"male",40,0,0,35.5,1,"S"
"57",2,"female",21,0,0,10.5,1,"S"
"58",3,"male",28.5,0,0,7.2292,0,"C"
"59",2,"female",5,1,2,27.75,1,"S"
"60",3,"male",11,5,2,46.9,0,"S"
"61",3,"male",22,0,0,7.2292,0,"C"
"62",1,"female",38,0,0,80,1,"S"
"63",1,"male",45,1,0,83.475,0,"S"
"64",3,"male",4,3,2,27.9,0,"S"
"65",1,"male",45.5,0,0,27.7208,0,"C"
"66",3,"male",6,1,1,15.2458,1,"C"
"67",2,"female",29,0,0,10.5,1,"S"
"68",3,"male",19,0,0,8.1583,0,"S"
"69",3,"female",17,4,2,7.925,1,"S"
"70",3,"male",26,2,0,8.6625,0,"S"
"71",2,"male",32,0,0,10.5,0,"S"
"72",3,"female",16,5,2,46.9,0,"S"
"73",2,"male",21,0,0,73.5,0,"S"
"74",3,"male",26,1,0,14.4542,0,"C"
"75",3,"male",32,0,0,56.4958,1,"S"
"76",3,"male",25,0,0,7.65,0,"S"
"77",3,"male",33,0,0,7.8958,0,"S"
"78",3,"male",24,0,0,8.05,0,"S"
"79",2,"male",0.83,0,2,29,1,"S"
"80",3,"female",30,0,0,12.475,1,"S"
"81",3,"male",22,0,0,9,0,"S"
"82",3,"male",29,0,0,9.5,1,"S"
"83",3,"female",22,0,0,7.7875,1,"Q"
"84",1,"male",28,0,0,47.1,0,"S"
"85",2,"female",17,0,0,10.5,1,"S"
"86",3,"female",33,3,0,15.85,1,"S"
"87",3,"male",16,1,3,34.375,0,"S"
"88",3,"male",24,0,0,8.05,0,"S"
"89",1,"female",23,3,2,263,1,"S"
"90",3,"male",24,0,0,8.05,0,"S"
"91",3,"male",29,0,0,8.05,0,"S"
"92",3,"male",20,0,0,7.8542,0,"S"
"93",1,"male",46,1,0,61.175,0,"S"
"94",3,"male",26,1,2,20.575,0,"S"
"95",3,"male",59,0,0,7.25,0,"S"
"96",3,"male",24,0,0,8.05,0,"S"
"97",1,"male",71,0,0,34.6542,0,"C"
"98",1,"male",23,0,1,63.3583,1,"C"
"99",2,"female",34,0,1,23,1,"S"
"100",2,"male",34,1,0,26,0,"S"
"101",3,"female",28,0,0,7.8958,0,"S"
"102",3,"male",33,0,0,7.8958,0,"S"
"103",1,"male",21,0,1,77.2875,0,"S"
"104",3,"male",33,0,0,8.6542,0,"S"
"105",3,"male",37,2,0,7.925,0,"S"
